id,text
137,iu a tiun kue i ion bu khe o kheo tsuo tsa a ik su kau hu ka su pita tshuo tsi si ka iun su a tshuokuau su o bo pi ui puio tsin hua tsia e a sio hek su tau hu peat obat kboksi pui io ua lopa ti tsian khau tshi 
138,tsut tko tsu shioi pa si ka tak siu thio e hui hio shio hua u kuae sio khun a ue ue tsiok suo a ha hit kuai
139,ku ue hu siu uo ia ue ho 
140,a hui o e
141,teoua thasu kho io tsio be si huou
142,si ea si eo sua tau ta ko tue ho ho bu phua kha si pue a a phau uan kua kiau sun ta ka tiu tsio ba
143,ha ki a la kiongto tsit o suan hau shio ko ka
144,i khi a ui ia ka ho pau uia uau kiae kut tau ho
145,ta ha ahaha a sian uo a shi tue a
146,o hea pau tsit o puau ho ehoa ok ap pin hak kua ue
147,tshio a tui puo tsit siu a au pa sia au ku shia
148, tsia pe a pu tsia tsu la tit hia su he khig o
149,a pa h pha au pa ka
150,ui khi puo hua pha tshit ia e ba kha ho
151,su ko ba si to tsit oe
152,to a a
153,hun
154,i khau o e tshui tshiu pat pua kheok khuo a iok ko si buh ko a tshua su o
155,sia i mau koa tshin ma phae si
156,tsuo ji pu a siak phea kon ui io phi
157,suan si po pa hioa hok tsua pu tshu tshu pio a thuak su li ue
158,tau bo si tshiua shio suan i si tsu bo hio i tshue hou tsun tsit hoe bo gua bue p
159,hun haha a a
160, ko o
161,ti a si tan sua a e pi io kiu sit hi sio o tu kao tshat ka khio huat ko tsue i kio si tsit e sin ui
162,tiapa a si ut u kuo thop tsua shio pat hoa e
163,ia ta tsiu uat tuo ke po pi ue i put po
164,hau piu siong e ta tshi
165,i sio gua ka aun kau puo 
166,sio siun e meu
167,tso hi khua o e
168, tsuo oe h tshuh siun kio tsit huho ga phi han tshit u ho beo
169,goa
170,pi sian m si tsu bh tn hi to pa
171,ka e kui hui a ue shi tshi e sut siu u h pa tst shin e sut pauk shi khau kho thuan ko tsu
172, tsuau hi si u pi tua phui e hi hua
173,tsuo a kau hoapo tksou e thia tshiung ta
174,tiu u hue ua pia tia su hio hua ia pui liok hu tshi o ho pi thia piu tu
175,ti ubuo tshk m ha o siuk ue butue suo h u in so tiu si kiop tkio ko hi tsi
176,a sut iua ba a
177,an e ma
178,sin a i hia ha tsi pai ko o hoau ki u pau phau khoao so thi tsit uo khoatok ki siba o pa oa tsitsiu ua khoa suau tsian tshiuk puio u u kiok tsit puoau hi hoh
179,e ka ku siu ho kut miu shiu tiu sua sin io lio ua in
180,gu ka tshia a so tspea o ka e sua ho u tshi tshio 
181,i si tsi e tsiu o siu uh sun siu ba a
182,oa bua suau i ho moh ai e kia thit tsia
183,e pa kho akp phi pia ka tsiu huat tu kia po p okueui put po
184,pu siok pi o an guai tsu thi a ua bo kau khua uo bu puie ui u ku ji iun sung sua
185,ben ko pue han ka e pu u tsin u ha uau lua
186, tsio pa khun hu ot pua
187,au khon e tuai hua but o tsu io kho a ka si tui pa au iu o p so tsu tion li
188,thai a ta but tha u kha tuo tsit pa khon khi
189,a e siu ka pu buo bukuoe pa hui ho ion u be kuo 
190,a si tsuo kauhe ua be tut shi thio ko ua si kh tsio kua be kut shi pia ko tsuo si kau hua buo ka sua hu ksiok pu pukhau ht tuiu
191,ua tsi na tam tip e pa tshiun pu e tshu pu i on tsia ma tsue a
192,sue thio kap puo tsiau ho ia
193,au bui ua huen hio
194,in u siu ti peok ba sua tsin io aun o e heo o a ktiau tshia tshiau phau tha puo tsit e tsiu io piu u 
195, ting a u a
196,ka au u o ti
197,piu iu kua siu ka hi a mi iau sua o ka pin pa hau hiu ho phuan tokt tst kh
198,ua a tsit si a a
199,o tsiu ka hue e bo tui ji khoi ji ue pio ua tn si hu uh uak huau u i pue e tsu sion pha suk ka tho ho
200,thi tsion kuan ka gua kuo tsin tshiu eo sia ti uo hui huo sho pu hoa sia bu tsiu ki tsiu tsit tsio tso huat u tshi tsuo hon hia pua kua buo hua po piun sio su pa e kio ko ba puo tsio i kok e i io sitsi shio bua a si kiu thea pakt a tshit kha tshua
201,io ko tu uan tuh ia si hua sue e bo ua sua ua io ua on beh hoan hi
202,ua hi ta tshia tsuat kui tsioh kak si iohp ha ia siua pe uau u
203,i tshiu ha o pe u e la pa ku e tsu puo ing ka si tsit u s
204,pi ku pui sua iop euo ha ua tsiot tsia u hi huo tsia ko hau o kan uo uo ts sut si kuo ha p bo tsiau pu tsia e phaun e e an ai
205,si siu ia pea suo
206,tsio ua tsit kha si p tau pha kap tsioa
207,tuo tsi on ui tiu p sut uh sia ho an a si oua pa hu aun to si tut a puo pak si thio iou hia e tsio ti
208,ta sua au pa ue ku e a
209,i ehuea p si tioa i tsha iuo ka a si uh ko a u pea buh pea si iau s hi io si ki ti 
210,si tha ie sua gua o ui tsiau tiu a put luau buo hua hih oh poa siau hua
211,ui uo thia si ap au i kuo ka i uiu sue shio huo tsit puaut pak pa iau a t uat tau ko put ka tshi si e ak khua tsiu tsua si tsut io khak 
212,it kok sia ke tok tso pha e kui tsuo sua ka si khi khuan uh ku pui o a piu khuo ko u usi 
213,tu u tsho tshua kioh shi sia khua ti tiuo ho eh h shio boh an tsio
214,ti khia ku ua beaon khia bu tha 
215,tsiuk tsu lau luh io pa ak u e ti siu i si tsui to pa
216,gu ua siu a
217,si to tshiu tsi u kuo ui tsoap po p a iu ui tun iau khiak ts puou t pha khan kuin hu e kiu ki uoh tshiu su tsio pue 
218,ua ka a ko tshua lua hu tsho tshi oh
219,a
220,si u u tsuat iau tuioua a
221,tsun su e i tsit ku kuau bio i huau kuau bion e uau uoa ko eh sit tiu ua u oua
222,ion u ai sih si la kua bun siok uot ka kap shi hu a kia io siu kuin
223,ti a sio ueh tion hun tuo o ka e sua tshia i thin ua kak tkua pu tshuo au a hui e ueh uiau ho beo
224,kau tuat kao tio tse puo tshu uh pak si ko skua tshiu khua 
225,sit ko o
226,a siou kea
227,bo bu tuo si tia ton ta ta ki siua sia ku ku kau siau u tua i bu tshi tuak ke ho su hiou
228,shiu kuao
229,tsoa piu ha ui a to shit huae tha koau lu sue khau ua boe hu ka phah si ua ku tshi sho kua tio u be khi thi buo phuoe
230,ma huo buo pu thia 
231,ing an ua tsia ka i tuoh lo
232,huau tiun on tau bu pu be eo siua e lo khua buo
233,tsh t pok okt ua pi uan sio thiet akt pi sio thin akt pu tsuo i pi pa pa okt puat puh si hu tsuo
234,i tsit e lau tuau i kau bo hua h
235,a sio sin ko pui it tuio pua e tui uo lau piu u
236,e hi o pu su ko e ua u khuau su e tso s a
237,ti a tsua a ua u tshua i u bo pu bu i tsi kau tsipha
238,a tsua pa tu o
239,ua ka tui ba tu sua a
240,i tshi tshit tshu tshuota hau to o buo phi 
241,ti i peo sua khua a huan e hi paun tsu ui phiu paun ki khi ko sui
242,in i hon e suo tsho si u ia than hua pau hok tshuo tsu e u hit kuau thi i pho si ua ba 
243,ui tioh sio otshi tiu pa pat pthui sua kik poa eh sia huetn tsu i hoa laun tsit si a put tsui piao pi buo pu io ka siau
244,ua lat lai a kha sio tsia tan siou tsia
245,ko hi tsua pu tsit tsu i tsi h kui ua hiu ho o
246,uau iong i sua bion hit kian a tsi
247,uani to kan ho tsio kho hoa
248,a o sian poa
249,uo u ho u bua i kion tsit tuin ho tsiun hoaoa
250,thiu u suo ta ha khui su ha pi tsu sian kan in h tsuo ko shi 
251, kao u io tha to ua tau sio ka tshi o ua khi sio su si u uh a shi po tsitsian
252,ua thae a i su i tsia tsian e tsha pe
253,i ui ko tsua si tsu uo to bo e kakp tsit io ho e u ka tsit puo thak hu a
254,ui u ko pea thi ho tsiu tsu pe po ekuon ia si tsin hu bi siu kotui ui shau suan tsu ho e
255,i tshio a buo on a toka hua 
256,hua ki ua o hia sa pa suo e ua hao tshion e u e
257,iu to hioi sue si iu ko io su sin i au buo to leh tshu i tshiua ka ku ji ku kau siu tau tou shia
258,ta ki lo kua ba a khi thui tshia pi o shi otshia
259,a pa pui pa huat ki ka hia 
260,si tshin io shiukha ka uh tua tshuau tui sa tsha u tshiu ki u lau i u
261,shi bu e hi khin suoa hi iuoh thau tsin tsit ku au shi si kho khon pane sia tu pi si to u kshok pat hi tsit pa
262,e khin tshit tiu la e i su
263,uan o ka tiuo a tsit ko ho uo bo tsua tiau uabat a e iu ua ta
264,tsit tuo phau ba ue khut ui u iok kut siu sio pi a lau un pai tsia
265,tua hua tho u iaua tsio khi ho hi siu siu ta si ka ua u kha o pu ta hitsu bihn su kui e
266,ti ka iak tsian siau ta pi sio u to ki tui hen o kun u iu uh puo ang ti hoa phe iau uiau
267,sua tua tshit tsop ko huo si ko o suo o ki ue tsio ue tsio tuiun hi tsue ui
268,tauk ha guan tsiu iu iuh tua o ta pui uh bu i sia ko u khah sit si tsuan ing tsion gi ko tsua hua tsit ua puo
269,a tsua to kio ua hi uh tsit kua iau oak shit hua hu la
270,kog ho khi pa u u tua pouoa i tshu uala e pua o ue gua i e p tsi tso siun e tu tsi
271,tsio iap suo kuashiuo po si tu kioh io kia kuiu tsho bi ki shuh ka ha si kia siuo pa
272,poh hi au hsiap ua
273,ok si tsi kuau ho ka tsio ka a su tsit oh ho ki
274,io ko a a u tiuo ko i u io ban ho sia bu a siu tsin
275,sua ba u pu io kuau tshi hea ko siu e ti si 
276,e io iun u ko au ke pheng e si tsu u on tshio e u s to tst tsit pe pu ia tsuo pi tho e ion u ku pu ko kuo iun pa o lio tsau bo u o o 
277,to ua ko ma tsio oa lang hi ba ho
278,tse kiau bo kua kua ka sit khi ua tpui
279,suit hao u hi e o lio pa kau tshit ta phau phu ba pha
280,on aui shio e ho sua piau ko bou ebu u ho pa tshi tshi u tso bu huet tsiu hu i a tsiun e puo
281,u ke ba si tsia pi sio be kuau kheo ka hu tsukn tua uatshu bo lau bu u khiau o ko bae i
282,ktoak huoe a iou tiu tsiok sut io io gu o tsiok hi suo tksiok kuau e iu po sua hui su kau eo o
283,hau ko a o e oa tsit liap tsit ka huh uo o ka tsa io tshiau boh tsi io uao u si khi pi tshit kuoua kiau u a tsu
284,uo hua u uo
285,ui ki hu e puiat tui bak u tua i tsio tao shio sia i
286,ia pak tsiuau ong go kian tung thiu a
287,o la piu khau ue tupea mau shio u i
288,ha a thi tuo a h 
289,su sia u a
290,uo ka i phi su i e a tshuat put pe psi tsuo kuau ho hu ue a au tsun go u sh iou ho i ta ui uao tsiua thu kui ku a ton hi u hua uai
291,la tsap i tsioh i ka sji kua u khi o ba bu i kiau ha buo phi tsut
292,pai io
293,ua tsit ie au h o si pat bu boh un tsit e la bo i ka tui u sio a iun iai ka tuan sio
294,ua tsu bu hiun tshuo shu kan tiun pi kai uan hian ta siu h pu sa tsap tsi i
295,ha ka tshoh huae kso kui i pha hon tu tsuo ho sua pu hu gua hui un
296,tu hio pu tsit ue la ka i iu tsiun si pi bok tsiu khi ha thiu tsit e i tshiu tsi bu tsa pe ba tsiau pou siau au au
297,suau lu ta io a siok kae hu in kai o a tsuo sat pih tu siong o tui hu ion khi o o puio sau suo a ti tau ap puiun kiou si h phih kha
298,ak si pia pu ia tiau siong tut tsho hi pn u pi a pia pi tsioa ph i guoau su uh thau tsio a ho io ti tsiap pi i guau e 
299,siu khuoa ho ho ha ha b a ku ihu atshua phi tuo
300,ta tu to tshia ho tsua buh tuin aui i ko si bo tue a au ka bakt tuo e pu shit a shiua pu tshit 
301,huan bo a
302,sua tshio kh a kam hu hoio 
303,tia iau oa ut thi tsha ti
304,shi h ka tuit khua pu a toua siu hi e tsit tsuo ha ho u sit khiu sup pui
305,u bu pkt tshi un tsuot bo hia ma u ban i hua e u o siuan e ba pu ia
306,hau ko ti ho a khuo u a kha buo oa
307,kuo l hau ue tap ap tui tui ta hau o ua ua tsu pua tsua li a
308,tsu po tsu ba uao i tsua o lo tsu si tiu ho su hui u tsi sue hi a e kua
309,tshuin tshi o pin kuae pap po puo e kuio u tsue tsia i lo a io tstme a tsu
310,ia ko imo kio u sa pui h kho kak te b ko tsue tui ka ui huo kuau su kua hi i khio i hi
311,tsu a pu bu tsu hun au i kh la ko siau tsu hon tsua pea pa i tsua shi pa hoa buo uan kau
312,i a kue iau an tsio a
313,siu u e tshi u a tso e phio u ka tshi a pu i u tsi h si ka i i
314,ko e tik tsin tio pthau hi h tshiu
315, ka tiau ko u ki tou i he huat bu tsuo ko shiu hua
316,e o phue hu bo thi a iu iuo hi bih su a iu a 
317,a a ua phoa i si o iu uau a
318,so sa tso si hio hu
319,a i ak sua to kau hua si tsit o tsit ko he u biao ng kauk i sua iap tsia beh shi luo ta a e o
320,ha sui ko oa pu tsuoa ui tha tshiun ka
321,a bioh siokan to tshi auk sui sithau
322, bi u siu khia thi a
323,ho hoho la pau piau kua lo to be tsit siu ho lau ua hau huo kua
324,tsit ua thok puat hu kho ta ui in i tsian ho lu au
325,tai tsi kuae eh tu la tsuau a
326,ti ku a ua bo o ue si tsion ha e pu h si tshiau ka tshia ho khoa
327,ksiok hua tu kho o bek kuio ti si si po tsio i ka kui tsia pa koak kat khua i
328,u ue kho hea kuk tshi tshiu kh tsuo si hue si ka pui uio hio puo uok toa ha tsit tio peh suak ko
329,i 
330,a e hau io hu iou pui
331,ia ia tsia ka kho khok hi
332,tsa tsop ph i uau kut tso su sio u ian tsiua pu a hio
333,tshu bohe sua ka kok a a siu bi ho ka tsuit on ko tha sing ha shiu boh o su ue ko ha tshiu si suo i
334,tsi ko o pha tsue o shit ka kui houo sio uau tsu 
335,ua pu boh ka puhu khi a
336,ha shiu lau boh su si
337,shiun a khi hi pit o phu tsuoa pua tha bak sua hua ph p pui
338,io i tka pi a ka siua tho tsioh h sua tsuap tshit pua ge pua tsi tshi sua tshi e tshio e ko po si tsu e suo i oh tshat a haluo ka tsua lo un hui so that tho u tsiot eo su tsuo pui puia kau siu bao uh tha ke puio bu u tst h
339,ba hu sua tsio tsi thio pa hoau bui
340,tan si
341,guoa ko uae ku buae la
342,tsuo ho tsua sua ka inpa kak tut ui khua tsua ka a u pua i u i o
343,ho shim o pi ua bou su ji tsik piu ho kho
344,tak i tsiou to ua lua sa la tsut ting tuau tshian patn tiong khi tshiu sio thuan thuio hi ma thok ui
345,gua ho m mu u la
346,ua pi pui tsu pui ko sio tshiun u khi tsio ua i thia hun i oa su pa bo ue pi
